,address,city,state,postal_code,price,facts and features,real estate provider,url,title
1112,,Lancaster,PA,17603,"$64,900 ","2 bds, 1.0 ba ,936 sqft",Hometown Property Sales Group LLC,https://www.zillow.com/homedetails/708-Beaver-St-Lancaster-PA-17603/9732780_zpid/,House for sale
1113,,Lancaster,PA,17603,"$425,000 ","7 bds, 4.0 ba ,4744 sqft",,https://www.zillow.com/homedetails/671-Habecker-Church-Rd-Lancaster-PA-17603/54235806_zpid/,For sale by owner
1114,,Lancaster,PA,17603,"$242,500 ","2 bds, 2.0 ba ,1263 sqft",Coldwell Banker Residential Brokerage-Lancaster,https://www.zillow.com/homedetails/105-Waypoint-Dr-Lancaster-PA-17603/104379944_zpid/,Apartment for sale
1115,,Lancaster,PA,17603,"$679,000 ","4 bds, 2.0 ba ,2590 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/537-W-Chestnut-St-Lancaster-PA-17603/318317730_zpid/,House for sale
1116,,Lancaster,PA,17603,"$239,900 ","3 bds, 2.0 ba ,1464 sqft",Iron Valley Real Estate of Lancaster,https://www.zillow.com/homedetails/328-W-Grant-St-Lancaster-PA-17603/9733396_zpid/,House for sale
1117,,Lancaster,PA,17603,,"4 bds, 1.0 ba ,618 sqft",,https://www.zillow.com/homedetails/329-Beaver-St-Lancaster-PA-17603/9732611_zpid/,Pre-foreclosure / Auction
1118,,Lancaster,PA,17603,,"2 bds, 1.5 ba ,1328 sqft",,https://www.zillow.com/homedetails/607-Fairway-Dr-Lancaster-PA-17603/54235923_zpid/,Pre-foreclosure / Auction
1119,,Lancaster,PA,17603,,"3 bds, 2.0 ba ,1224 sqft",,https://www.zillow.com/homedetails/38-N-Bausman-Dr-Lancaster-PA-17603/9744687_zpid/,Pre-foreclosure / Auction
1120,,Lancaster,PA,17603,,"2 bds, 1.0 ba ,792 sqft",,https://www.zillow.com/homedetails/21-Hoover-Rd-Lancaster-PA-17603/54231967_zpid/,Pre-foreclosure / Auction
1121,,Lancaster,PA,17603,"$159,900 ","3 bds, 2.0 ba ,1840 sqft",Keller Williams Elite,https://www.zillow.com/homedetails/611-Emerald-Dr-Lancaster-PA-17603/9739804_zpid/,Townhouse for sale
1122,,Lancaster,PA,17603,"$349,900 ","2 bds, 2.0 ba ,1264 sqft",Mountain Realty,https://www.zillow.com/homedetails/317-N-Mulberry-St-UNIT-201-Lancaster-PA-17603/121306047_zpid/,Condo for sale
1123,,Lancaster,PA,17603,"$180,000 ","3 bds, 2.0 ba ,1672 sqft",Keller Williams Elite,https://www.zillow.com/homedetails/560-W-Orange-St-Lancaster-PA-17603/9733592_zpid/,Apartment for sale
1124,,Lancaster,PA,17603,"$357,900 ","2 bds, 2.0 ba ,1437 sqft",Iron Valley Real Estate of Lancaster,https://www.zillow.com/homedetails/317-N-Mulberry-St-202-Lancaster-PA-17603/121383452_zpid/,Condo for sale
1125,,Lancaster,PA,17603,"$424,000 ","3 bds, 3.0 ba ,2229 sqft",,https://www.zillow.com/homedetails/2100-Millersville-Pike-Lancaster-PA-17603/9771275_zpid/,For sale by owner
1126,,Lancaster,PA,17603,"$79,900 ","3 bds, 1.0 ba ,782 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/724-High-St-Lancaster-PA-17603/54231617_zpid/,House for sale
1127,,Lancaster,PA,17603,"$119,900 ","2 bds, 1.0 ba ,836 sqft",Coldwell Banker Residential Brokerage,https://www.zillow.com/homedetails/325-Groff-Ave-Lancaster-PA-17603/9738877_zpid/,House for sale
1128,,Lancaster,PA,17603,"$169,900 ","3 bds, 3.0 ba ,1618 sqft",Shepherd Real Estate LLC,https://www.zillow.com/homedetails/616-Poplar-St-Lancaster-PA-17603/9742096_zpid/,House for sale
1129,,Lancaster,PA,17603,"$315,000 ","4 bds, 3.0 ba ,2010 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/30-Bentley-Smt-Lancaster-PA-17603/9744819_zpid/,House for sale
1130,,Lancaster,PA,17603,"$179,900 ","3 bds, 1.0 ba ,1025 sqft",RE/MAX Pinnacle,https://www.zillow.com/homedetails/1852-Timber-Point-Ln-Lancaster-PA-17603/245324813_zpid/,House for sale
1131,,Lancaster,PA,17603,"$329,900 ","3 bds, 3.0 ba ,2301 sqft",Keller Williams Elite,https://www.zillow.com/homedetails/658-W-Walnut-St-Lancaster-PA-17603/54230420_zpid/,House for sale
1132,,Lancaster,PA,17603,"$179,900 ","3 bds, 3.0 ba ,1422 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/361-Dickens-Dr-Lancaster-PA-17603/104372367_zpid/,Townhouse for sale
1133,,Lancaster,PA,17603,"$139,900 ","3 bds, 1.0 ba ,1260 sqft",RE/MAX Pinnacle,https://www.zillow.com/homedetails/638-Pearl-St-Lancaster-PA-17603/9740918_zpid/,House for sale
1134,,Lancaster,PA,17603,"$227,500 ","3 bds, 2.0 ba ,1700 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/2632-Royal-Rd-Lancaster-PA-17603/9765615_zpid/,House for sale
